Semantic Field,Structure,Database ID,Synset,Phrase 1,Phrase 2,Definiton,Jpn ID,Jpn Synset,Phrase 1,Phrase 2,Jpn Definition
Location,entity:physical entity:object:location:region:extremity:boundary:surface:side:bottom,08528313,"bottom,underside,undersurface",,,the lower side of anything,08511241-n,"尻,ボトム,底面,下面,下側,お尻,底",,,あるものの下側の面
Artifact,entity:physical entity:object:location:region:extremity:boundary:surface:side:bottom:base,02801733,base,,,"a flat bottom on which something is intended to sit; ""a tub should sit on its own base""",02798574-n,"底面,底",,,何かが座ることを意図する平底
Location,entity:physical entity:object:location:region:extremity:boundary:surface:side:top,08681092,"top,top side,upper side,upside",,,"the highest or uppermost side of anything; ""put your books on top of the desk""; ""only the top side of the box was painted""",08663354-n,"上,上面,天面",,,あるものの一番上、あるいは一番高い面
Location,entity:physical entity:object:location:region:extremity:end:finish,08585406,"finish,destination,goal",,,"the place designated as the end (as of a race or journey); ""a crowd assembled at the finish""; ""he was nearly exhausted as their destination came into view""",08567877-n,"行く先,目的地,行先,行き先,ゴール",,,終わり（レースまたは旅行現在）に指定される場所
Location,entity:physical entity:object:location:region:extremity:end:tip,08680894,tip,,,the extreme end of something; especially something pointed,08663156-n,"先っぽ,先端,先端部,最尖端,先,最先端,先っちょ",,,あるものの一番先
Location,entity:physical entity:object:location:region:extremity:extreme point:vertex,08695539,"vertex,peak,apex,acme",,,"the highest point (of something); ""at the peak of the pyramid""",08677801-n,"頂上,頂端,天頂,頂,天辺,頂点,絶巓",,,最高点（何かの）
Location,entity:physical entity:object:location:region:geographical area:colony,08516868,"colony,dependency",,,a geographical area politically controlled by a distant country,08499840-n,"植民地,附庸,属国,従属国,属領,付庸,コロニー",,,遠い国により政治的に制御される地理的地域
Location,entity:physical entity:object:location:region:geographical area:country,08662297,"country,rural area",,,"an area outside of cities and towns; ""his poetry celebrated the slower pace of life in the country""",08644722-n,"鄙,田舎,田園,いなか,在方,在郷,地方,在地,ルーラル地域,在所",,,都市部や町の外側の地域
Location,entity:physical entity:object:location:region:geographical area:country:countryside,08662608,countryside,,,rural regions,08645033-n,"田舎,田園,いなか,田野",,,田舎の地域
Location,entity:physical entity:object:location:region:geographical area:environment,08584764,"environment,environs,surroundings,surround",,,"the area in which something exists or lives; ""the country--the flat agricultural surround""",08567235-n,環境,,,何かが存在、あるいは住んでいる場所
Location,entity:physical entity:object:location:region:geographical area:environment:habitat,08598111,"habitat,home ground",,,"the type of environment in which an organism or group normally lives or occurs; ""a marine habitat""; ""he felt safe on his home grounds""",08580583-n,"ホームグランド,地元,生息地,ホームグラウンド",,,有機体またはグループが通常生活または発生する環境の種類
Location,entity:physical entity:object:location:region:geographical area:environment:setting,08585785,"setting,scene",,,"the context and environment in which something is set; ""the perfect setting for a ghost story""",08568256-n,場面,,,何かを配置するための情況と環境
Location,entity:physical entity:object:location:region:geographical area:hemisphere,08600622,hemisphere,,,half of the terrestrial globe,08583095-n,半球,,,地球の半分
Artifact,entity:physical entity:object:location:region:geographical area:place:sanctuary,04140731,sanctuary,,,a consecrated place where sacred objects are kept,04133648-n,"内殿,神殿,聖堂,内陣,聖域,サンクチュアリー,宝物殿,サンクチュアリ,宝殿,祭殿,神域",,,神聖な物が保たれる神聖な場所
Location,entity:physical entity:object:location:region:geographical area:sphere,08671145,"sphere,sphere of influence",,,the geographical area in which one nation is very influential,08653570-n,"勢力圏,領分,勢力範囲,影響圏",,,ある1つの国が大きな影響力を持っている地理的な領域
Location,entity:physical entity:object:location:region:geographical area:territory,08510074,"territory,soil",,,"the geographical area under the jurisdiction of a sovereign state; ""American troops were stationed on Japanese soil""",08493064-n,領土,,,主権国家の管轄下の地理的な領域
Location,entity:physical entity:object:location:region:geographical area:tract:battlefield,08523662,"battlefield,battleground,field of battle,field of honor,field",,,"a region where a battle is being (or has been) fought; ""they made a tour of Civil War battlefields""",08506641-n,"戦地,戦の庭,軍場,征野,闘いの庭,闘の庭,軍の庭,戦いの庭,戦場,戦陣,前線,戦域",,,戦闘が行われている（行われてきた）場所
Location,entity:physical entity:object:location:region:geographical area:tract:desert,08522594,desert,,,arid land with little or no vegetation,08505573-n,"黄砂,砂海,乾荒原,沙漠,デザート,砂漠,黄沙",,,植物がほとんど、あるいはまったくない不毛の地域
Location,entity:physical entity:object:location:region:geographical area:tract:field,08587527,field,,,"a piece of land cleared of trees and usually enclosed; ""he planted a field of wheat""",08569998-n,"小野,土地",,,木を取り払った、通常囲われた土地
Location,entity:physical entity:object:location:region:geographical area:tract:field:lawn,08609148,lawn,,,a field of cultivated and mowed grass,08591592-n,"芝地,芝生,芝",,,栽培されて刈られた草の畑
Artifact,entity:physical entity:object:location:region:geographical area:tract:field:yard,04618236,"yard,grounds,curtilage",,,"the enclosed land around a house or other building; ""it was a small house with almost no yard""",04610879-n,"庭,ガーデン",,,家や他の建物の回りの土地
Location,entity:physical entity:object:location:region:geographical area:tract:grassland:hayfield,08588163,"hayfield,meadow",,,a field where grass or alfalfa are grown to be made into hay,08570634-n,"牧草地,牧場,採草地,草地",,,草またはアルファルファが干し草になるために育てられるフィールド
Location,entity:physical entity:object:location:region:geographical area:tract:grassland:pasture,08633625,"pasture,pastureland,grazing land,lea,ley",,,a field covered with grass or herbage and suitable for grazing by livestock,08616050-n,"牧草地,牧野,牧場,放牧地,牧地,牧,草原",,,芝や牧草に覆われ、家畜の放牧に適した場所
Location,entity:physical entity:object:location:region:geographical area:tract:lot,08692708,lot,,,"a parcel of land having fixed boundaries; ""he bought a lot on the lake""",08674970-n,"敷地,敷き地,料地,地所,用地,区画,地面,土地",,,はっきりとした境界がある土地
Location,entity:physical entity:object:location:region:geographical area:tract:park,08632949,"park,commons,common,green",,,"a piece of open land for recreational use in an urban area; ""they went for a walk in the park""",08615374-n,"パーク,園地,庭園,緑地,園生,公園,園,パルコ,運動場",,,娯楽に使われる都市部の野外の土地
Location,entity:physical entity:object:location:region:geographical area:tract:playing field,08588287,"playing field,athletic field,playing area,field",,,"a piece of land prepared for playing a game; ""the home crowd cheered when Princeton took the field""",08570758-n,"グラウンド,競技場,フィールド,グランド,運動場",,,競技のために用意された土地
Location,entity:physical entity:object:location:region:geographical area:tract:plot,08692477,"plot,plot of land,plot of ground,patch",,,"a small area of ground covered by specific vegetation; ""a bean plot""; ""a cabbage patch""; ""a briar patch""",08674739-n,"庭地,畑",,,特定の植物を植えた地面の小さな領域
Artifact,entity:physical entity:object:location:region:geographical area:tract:plot:bed,02822609,bed,,,"a plot of ground in which plants are growing; ""the gardener planted a bed of roses""",02819474-n,#N/A,,,植物が生育する畑の小区画
Location,entity:physical entity:object:location:region:geographical area:tract:public square,08637195,"public square,square",,,an open area at the meeting of two or more streets,08619620-n,広場,,,2本以上の通りが面する開放的な場所
Location,entity:physical entity:object:location:region:geographical area:tract:range,08646774,range,,,"a large tract of grassy open land on which livestock can graze; ""they used to drive the cattle across the open range every spring""; ""he dreamed of a home on the range""",08629199-n,レインジ,,,家畜は牧草を食べることのできる草の多い開けた土地の大きな土地
Location,entity:physical entity:object:location:region:geographical area:tract:site,08668822,"site,land site",,,"the piece of land on which something is located (or is to be located); ""a good site for the school""",08651247-n,"場所,敷地,敷き地,料地,サイト,立地,用地",,,何かがある（予定の）土地の区画
Artifact,entity:physical entity:object:location:region:geographical area:tract:site:camp,02949049,"camp,summer camp",,,"a site where care and activities are provided for children during the summer months; ""city kids get to see the country at a summer camp""",02945594-n,"サマーキャンプ,キャンプ",,,夏の期間中子供たちのための世話と活動が提供される場所
Location,entity:physical entity:object:location:region:geographical area:tract:site:cemetery,08538806,"cemetery,graveyard,burial site,burial ground,burying ground,memorial park,necropolis",,,a tract of land used for burials,08521623-n,"共同墓地,蘭塔場,三昧場,墓所,廟所,メモリアルパーク,青山,仇野,化野,徒し野,塚,徒野,兆域,墓地,墓場,埋葬地,奥つ城,奥つ城所,霊園,ネクロポリス,仇し野,奥津城,奥津城所",,,埋葬に使用される一区画の土地
Location,entity:physical entity:object:location:region:geographical area:tract:site:dig,08567651,"dig,excavation,archeological site",,,"the site of an archeological exploration; ""they set up camp next to the dig""",08550076-n,"遺跡発掘場,発掘地",,,考古学の調査を行っている場所
Location,entity:physical entity:object:location:region:geographical area:urban area:municipality:city,08542298,"city,metropolis,urban center",,,"a large and densely populated urban area; may include several independent administrative districts; ""Ancient Troy was a great city""",08524735-n,市,,,大きくて人口密度が高い都市部
Location,entity:physical entity:object:location:region:geographical area:urban area:municipality:town,08683242,town,,,"an urban area with a fixed boundary that is smaller than a city; ""they drive through town on their way to work""",08665504-n,"タウン,町",,,決まった境界がある都市区域で、市よりも小さい
Location,entity:physical entity:object:location:region:geographical area:wilderness,08701286,"wilderness,wild",,,"a wild and uninhabited area left in its natural condition; ""it was a wilderness preserved for the hawks and mountaineers""",08683548-n,"原野,未開地,曠野,荒蕪地,荒れ野,荒原,荒野",,,その自然の状態で残されている野生で無人の領域
Location,entity:physical entity:object:location:region:geographical location:Confederacy,09072700,"Confederacy,Confederate States,Confederate States of America,South,Dixie,Dixieland",,,the southern states that seceded from the United States in 1861,09050244-n,南部,,,南部の州で、1861年に米国から脱退した
Location,entity:physical entity:object:location:region:inside,08605849,"inside,interior",,,the region that is inside of something,08588294-n,"内側,内,インナー,内方,内部,インサイド",,,あるものの内側の領域
Location,entity:physical entity:object:location:region:layer,08609236,layer,,,a relatively thin sheetlike expanse or region lying over or under another,08591680-n,"レイヤ,層,レイヤー",,,もう一つの上、あるいは下に存在している比較的細いシート状の広がりまたは領域
Location,entity:physical entity:object:location:region:sign of the zodiac,08703415,"sign of the zodiac,star sign,sign,mansion,house,planetary house",,,(astrology) one of 12 equal areas into which the zodiac is divided,08685677-n,#N/A,,,黄道帯を等しく12の領域に分けたうちの1つ
Artifact,entity:physical entity:object:part:component,03085025,"component,constituent,element",,,"an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system; ""spare components for cars""; ""a component or constituent element of a system""",03081021-n,"要素,部品,部分品",,,合成実体が作られる個々の部品の1つである人工物
Artifact,entity:physical entity:object:part:component:accessory:fitting:receptacle:wall socket,04556057,"wall socket,wall plug,electric outlet,electrical outlet,outlet,electric receptacle",,,receptacle providing a place in a wiring system where current can be taken to run electrical devices,04548771-n,"差し込み,差込み,差込,コンセント",,,配線系統において、電気装置を動かすための電流を取り込む部分を備え付けた差し込み口
Artifact,entity:physical entity:object:part:component:addition,02682269,"addition,add-on,improver",,,"a component that is added to something to improve it; ""the addition of a bathroom was a major improvement""; ""the addition of cinnamon improved the flavor""",02679415-n,"添,添加物,プラス,付けたし,付たり,増加,添え物,添えもの,添加,付加,御負け,御負,追加,附録,添付,付けたり,補足,添物,お負け,加増,添え,付録,付足し,加えること,そえ物,お負,付け足し,サプリメント",,,何かを改善するためにそれに加えられる要素
Artifact,entity:physical entity:object:part:component:addition:annex,02716453,"annex,annexe,extension,wing",,,an addition that extends a main building,02713594-n,"別館,アネックス,拡張部分",,,本館を拡張した附属部分
Artifact,entity:physical entity:object:part:component:addition:attachment,02758249,attachment,,,a supplementary part or accessory,02755244-n,"付属装置,付属品,附属品,アタッチメント",,,補助部分または付属品
Artifact,entity:physical entity:object:part:component:hardware,03498434,"hardware,computer hardware",,,"(computer science) the mechanical, magnetic, electronic, and electrical components making up a computer system",03493333-n,"ハードウエア,ハード,ハードウェア",,,コンピュータシステムを構成している機械的、電磁的、電子的、電気的装置
Artifact,entity:physical entity:object:part:component:ingredient,03575860,ingredient,,,a component of a mixture or compound,03570709-n,"材料,食材,素,素材,成分",,,混合物か化合物のコンポーネント
Artifact,entity:physical entity:object:part:component:module,03784133,module,,,a self-contained component (unit or item) that is used in combination with other components,03778600-n,"モデュール,モジュール",,,他の部品と組み合わせて使われる内蔵式の部品（一式または品目）
Artifact,entity:physical entity:object:part:piece,03938441,piece,,,"a separate part of a whole; ""an important piece of the evidence""",03932203-n,"部分,断片,一片",,,全体の個別の部分
Artifact,entity:physical entity:object:part:piece:piece of cloth:patch,03903640,patch,,,a piece of cloth used as decoration or to mend or cover a hole,03897943-n,"継ぎ,継切,パッチ,接ぎ,継,継ぎ切れ,接,布片,継切れ",,,装飾、穴を繕ったり塞ぐものとして使用される布の断片
Artifact,entity:physical entity:object:part:piece:piece of cloth:sail,04135005,"sail,canvas,canvass,sheet",,,a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel,04127904-n,帆,,,風が帆船を推進させるのに使用される手段による大きな布の織物（通常キャンバス地）
Artifact,entity:physical entity:object:part:piece:piece of cloth:towel,04466597,towel,,,a rectangular piece of absorbent cloth (or paper) for drying or wiping,04459362-n,"手ぬぐい,タオル,西洋手ぬぐい,汗ふき,口拭き,西洋手拭,汗拭,汗手拭い,汗拭き,手拭い,西洋手拭い,手拭き,巾,手巾,汗手拭,手拭",,,乾燥や拭きとり用の長方形の吸収性の布（または、紙）
Artifact,entity:physical entity:object:part:piece:scrap,04157733,scrap,,,"a small piece of something that is left over after the rest has been used; ""she jotted it on a scrap of paper""; ""there was not a scrap left""",04150668-n,"切端,切れっ端,切り端,襤褸切,襤褸,襤褸切れ,切っ端,屑,端くれ,切れ端,くず",,,残りが使用された跡に残される何かの小さな部分
Artifact,entity:physical entity:object:part:section,04172050,"section,segment",,,"one of several parts or pieces that fit with others to constitute a whole object; ""a section of a fishing rod""; ""metal sections were used below ground""; ""finished the final segment of the road""",04164989-n,"一部分,セグメント,局所,一節,局部,セクション,部分,一部,一端",,,全体の物を構成するために他と適合するいくつかの断片あるいは部分の1つ
Artifact,entity:physical entity:object:part:section:bend,02832880,"bend,curve",,,curved segment (of a road or river or railroad track etc.),02829696-n,"曲がり,曲り,曲り目,カーブ,曲がり目,カーヴ",,,曲がった部分（道路、川または鉄道線路などの）
Object,entity:physical entity:object:remains:fossil,09307495,fossil,,,the remains (or an impression) of a plant or animal that existed in a past geological age and that has been excavated from the soil,09284589-n,化石,,,昔の地質時代に存在し、土から発掘された、植物または動物の遺体（または痕跡）
Artifact,entity:physical entity:object:whole:artifact:article:notion:ribbon,04095011,ribbon,,,notion consisting of a narrow strip of fine material used for trimming,04087899-n,リボン,,,整えるために使用される細長く上質の材料からなる雑貨
Artifact,entity:physical entity:object:whole:artifact:article:ware:tableware:crockery:cup,03152175,cup,,,"a small open container usually used for drinking; usually has a handle; ""he put the cup back in the saucer""; ""the handle of the cup was missing""",03147509-n,"コップ,カップ",,,通常、飲酒に使用される小さいふたなし容器
Artifact,entity:physical entity:object:whole:artifact:article:ware:tableware:crockery:dish,03211629,dish,,,"a piece of dishware normally used as a container for holding or serving food; ""we gave them a set of dishes for a wedding present""",03206908-n,"盤,皿,お皿,大皿",,,通常食べ物を乗せたり出したりするのに用いる食器の1つ
Artifact,entity:physical entity:object:whole:artifact:article:ware:tableware:cutlery:fork,03388794,fork,,,cutlery used for serving and eating food,03383948-n,"ホーク,フォーク",,,食べ物を出して食べるのに使用する食卓用刃物類
Artifact,entity:physical entity:object:whole:artifact:article:ware:tableware:cutlery:spoon,04291140,spoon,,,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food,04284002-n,"刀圭,匙,御匙,お匙,スプン,スプーン",,,浅い椀形の容器と柄をもったカトラリーの1つ
Artifact,entity:physical entity:object:whole:artifact:article:ware:tableware:flatware:plate,03965779,plate,,,dish on which food is served or from which food is eaten,03959485-n,"一皿,プレート,皿,お皿,プレイト",,,食べ物を出したり食べたりする皿
Artifact,entity:physical entity:object:whole:artifact:article:ware:tableware:glassware:crystal,03147485,crystal,,,glassware made of quartz,03142834-n,"クリスタル,水晶",,,石英でできたガラス製品
Artifact,entity:physical entity:object:whole:artifact:article:ware:tableware:silverware:flatware,03366683,"flatware,silver",,,silverware eating utensils,03361837-n,銀食器類,,,銀食器類
Artifact,entity:physical entity:object:whole:artifact:block:slab,04240514,slab,,,block consisting of a thick piece of something,04233405-n,"プレート,スラブ,平板",,,何かの厚切りの塊り
Artifact,entity:physical entity:object:whole:artifact:block:slab:tile,04442314,tile,,,a flat thin rectangular slab (as of fired clay or rubber or linoleum) used to cover surfaces,04435180-n,"タイル,瓦",,,薄くて平らな長方形の（焼成粘土、ゴムまたはリノリウムなどの）板で、表面を覆うために使用される
Substance,entity:physical entity:object:whole:artifact:building material:concrete,14844350,concrete,,,a strong hard building material composed of sand and gravel and cement and water,14820180-n,"コンクリート,混凝土,コンクリ,ベトン",,,砂、砂利、セメントと水から成る、丈夫で硬い建築用資材
Substance,entity:physical entity:object:whole:artifact:building material:lumber,14967718,"lumber,timber",,,the wood of trees cut and prepared for use as building material,14943580-n,"材,材木,用木,木材,用材,榑",,,伐られて、建築資材として使用の準備ができている木
Substance,entity:physical entity:object:whole:artifact:building material:lumber:board,15126421,"board,plank",,,a stout length of sawn timber; made in a wide variety of sizes and used for many purposes,15101854-n,"板材,船板,厚板,敷き板,ボード,板子,平板,敷板,一枚板,板",,,のこぎりで切られた木の丈夫な一片
Artifact,entity:physical entity:object:whole:artifact:commodity,03080712,"commodity,trade good,good",,,articles of commerce,03076708-n,"商品,商売物,商い物,物品,商物,品物,商いもの",,,商品
Artifact,entity:physical entity:object:whole:artifact:commodity:consumer goods:durables:appliance:home appliance:kitchen appliance:oven,03868196,oven,,,kitchen appliance used for baking or roasting,03862676-n,"オーヴン,オーブン",,,ベーキングまたはローストのために使われる台所機器
Artifact,entity:physical entity:object:whole:artifact:commodity:consumer goods:durables:appliance:home appliance:kitchen appliance:stove,04337478,"stove,kitchen stove,range,kitchen range,cooking stove",,,"a kitchen appliance used for cooking food; ""dinner was already on the stove""",04330340-n,"くど,レンジ,竈",,,調理のために使われる台所設備
Artifact,entity:physical entity:object:whole:artifact:commodity:consumer goods:durables:appliance:home appliance:vacuum,04525118,"vacuum,vacuum cleaner",,,an electrical home appliance that cleans by suction,04517823-n,"掃除機,真空掃除機,電気掃除機,バキュームクリーナー,掃除器",,,吸い込んで掃除する家電製品
Artifact,entity:physical entity:object:whole:artifact:commodity:consumer goods:durables:appliance:home appliance:white goods:refrigerator:electric refrigerator,03278824,"electric refrigerator,fridge",,,a refrigerator in which the coolant is pumped around by an electric motor,03273913-n,"冷蔵庫,電気冷蔵庫",,,冷却液が電気モーターによって周りに送り込まれる冷蔵庫
Artifact,entity:physical entity:object:whole:artifact:commodity:drygoods:white goods:linen,03677678,linen,,,white goods or clothing made with linen cloth,03672352-n,リネン製品,,,リネン布でできた白の品または服
Artifact,entity:physical entity:object:whole:artifact:commodity:drygoods:white goods:linen:bed linen:sheet,04195222,"sheet,bed sheet",,,bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs,04188179-n,"敷妙,敷き栲,敷き布,敷き妙,敷栲,シーツ,敷布",,,綿または麻の布の大きな長方形の一片から成るベッド用のシーツと枕カバー
Artifact,entity:physical entity:object:whole:artifact:commodity:import,03569847,"import,importation",,,commodities (goods or services) bought from a foreign country,03564667-n,"輸入品,インポート,輸入物",,,外国から購入される商品（製品またはサービス）
Artifact,entity:physical entity:object:whole:artifact:commodity:merchandise,03754377,"merchandise,ware,product",,,"commodities offered for sale; ""good business depends on having good merchandise""; ""that store offers a variety of products""",03748886-n,"プロダクト,売り物",,,売りに出される商品
Artifact,entity:physical entity:object:whole:artifact:commodity:merchandise:stock,04328672,"stock,inventory",,,"the merchandise that a shop has on hand; ""they carried a vast inventory of hardware""; ""they stopped selling in exact sizes in order to reduce inventory""",04321534-n,"インベントリー,ストック,店卸し資産,インベントリ,在庫品,棚卸し資産,在荷,棚卸資産,店卸資産,在庫",,,店の手元にある商品
Artifact,entity:physical entity:object:whole:artifact:covering:cloth covering:bedclothes:blanket,02852392,"blanket,cover",,,"bedding that keeps a person warm in bed; ""he pulled the covers over his head and went to sleep""",02849154-n,"ブランケット,毛布,ケット",,,ベッドの中の人を暖かくする寝具
Artifact,entity:physical entity:object:whole:artifact:covering:cloth covering:dressing,03242342,"dressing,medical dressing",,,a cloth covering for a wound or sore,03237639-n,"包帯剤,医薬用包帯,繃帯,包帯",,,切り傷やただれた所などを覆うもの
Artifact,entity:physical entity:object:whole:artifact:covering:cloth covering:dressing:bandage,02788671,"bandage,patch",,,a piece of soft material that covers and protects an injured part of the body,02785648-n,"繃帯,包帯",,,身体の負傷している部分を覆い保護する柔らかい材質の物
Artifact,entity:physical entity:object:whole:artifact:covering:cloth covering:dressing:bandage:cast,02983295,"cast,plaster cast,plaster bandage",,,bandage consisting of a firm covering (often made of plaster of Paris) that immobilizes broken bones while they heal,02979836-n,"ギブス,ギプス,ギプス包帯",,,それらが回復する間、骨折を固定する安定したカバー（しばしば焼き石膏でできている）からなる包帯
Artifact,entity:physical entity:object:whole:artifact:covering:cloth covering:sleeve,04243483,"sleeve,arm",,,the part of a garment that is attached at the armhole and that provides a cloth covering for the arm,04236377-n,"スリーヴ,袖,羽袖,衣袂,捩り,スリーブ,衣手,袂",,,アームホールで取り付けられ腕を覆う衣服の部分
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:accessory:belt,02830790,belt,,,a band to tie or buckle around the body (usually at the waist),02827606-n,"バンド,胴締め,サンチュール,帯皮,帯,三尺帯,三尺,下紐,腰帯,帯革,胴締,ベルト",,,（通例ウェストのところで）体の周りを結んだりバックルで止めたりする帯
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:apparel,02731365,"apparel,wearing apparel,dress,clothes",,,"clothing in general; ""she was refined in her choice of apparel""; ""he always bought his clothes at the same store""; ""fastidious about his dress""",02728440-n,"衣装,衣料,着類,洋服,装い,お召し,ウエア,御衣,ウェア,衣服,被服,べべ,衣紋,着り物,御召物,衣裳,お召,狭衣,御召,着物,着衣,お召しもの,アパレル,服,御召し,お召物,衣,おべべ,御召しもの,ドレス,衣類,お召し物,装束,コスチューム,御召し物",,,一般的に衣服
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:attire:costume,03118308,costume,,,"the attire worn in a play or at a fancy dress ball; ""he won the prize for best costume""",03113657-n,"衣装,舞台衣裳,衣裳,舞台衣装,装束,コスチューム",,,劇や仮装舞踏会で身につける服装
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:attire:outfit,03865478,"outfit,getup,rig,turnout",,,"a set of clothing (with accessories); ""his getup was exceedingly elegant""",03859958-n,"衣装,出で立ち,拵,装い,装,出立ち,服装,衣裳,上下一揃いの服,拵え",,,一揃いの（アクセサリーが付いている）衣服
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:footwear:hosiery:sock,04261887,sock,,,hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee,04254777-n,"ソックス,靴下",,,脚を覆う布でなる靴下
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:garment:head covering,03507475,"head covering,veil",,,a garment that covers the head and face,03502331-n,"ヴェール,ベール,ヴェイル,頭を覆う物",,,頭部や顔を覆う衣装
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:garment:laundry,03653533,"laundry,wash,washing,washables",,,garments or white goods that can be cleaned by laundering,03648219-n,#N/A,,,洗濯によってきれいにすることができる服または白い物
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:garment:neckwear:necktie,03821155,"necktie,tie",,,"neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front; ""he stood in front of the mirror tightening his necktie""; ""he wore a vest and tie""",03815615-n,"タイ,ネクタイ",,,（たいてい男子によって）カラーの下に付けられ前で結ばれる一枚の小幅の長い生地
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:garment:overgarment:coat,03061006,coat,,,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors,03057021-n,"オーバー,オーバコート,上衣,襲,外衣,オーバ,外套,コート,オーバーコート,上張り,トップコート,上着",,,袖を持ち肩から下に向けて体を覆う外側の衣服
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:garment:overgarment:coat:jacket,03594978,jacket,,,a short coat,03589791-n,"上衣,ジャンバー,ヤッケ,ウインドブレーカー,ジャケット,ブルゾン,ジャンパー",,,短いコート
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:garment:shirt,04204434,shirt,,,a garment worn on the upper half of the body,04197391-n,"シャツ,ワイシャツ,Yシャツ",,,体の上半分に着る衣服
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:garment:shirt:jersey,03600807,"jersey,T-shirt,tee shirt",,,a close-fitting pullover shirt,03595614-n,"ジャージー,プルオーバー,シャツ,ジャージ,Tシャツ,セーター,ティーシャツ",,,ぴったりしたプルオーバーのシャツ
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:garment:skirt,04237870,skirt,,,a garment hanging from the waist; worn mainly by girls and women,04230808-n,"スコート,スカート",,,ウエストからさがっている衣服
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:garment:suit,04357983,"suit,suit of clothes",,,"a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color; ""they buried him in his best suit""",04350905-n,"背広,スーツ",,,すべてが同じ繊維と色の外着のための1セットの衣類（通常ジャケットとズボンまたはスカート）
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:garment:sweater,04377135,"sweater,jumper",,,a crocheted or knitted garment covering the upper part of the body,04370048-n,"スウェータ,セータ,スエーター,ジャケツ,セーター,スウェーター",,,上体を覆うかぎ針編みあるいはメリヤスの衣服
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:garment:trousers:jeans,03599921,"jeans,blue jeans,denim",,,(used in the plural) close-fitting trousers of heavy denim for manual work or casual wear,03594734-n,"デニム,ジーンズ",,,手作業向け、またはカジュアルな服装として着られる重いデニムの体にぴったりあったズボン
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:garment:trousers:short pants,04212364,"short pants,shorts,trunks",,,(used in the plural) trousers that end at or above the knee,,#N/A,,,#N/A
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:handwear:glove,03446036,glove,,,handwear: covers the hand and wrist,03441112-n,"手袋,グローブ",,,手に付けるもの：手と手首を覆う
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:headdress:cap,02957776,cap,,,a tight-fitting headdress,02954340-n,"キャップ,シャッポー,シャポー,シャッポ,帽子,鳥打ち帽",,,ぴったりした頭飾り
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:headdress:hat,03502782,"hat,chapeau,lid",,,headdress that protects the head from bad weather; has shaped crown and usually a brim,03497657-n,"笠,シャッポー,シャポー,シャッポ,帽子,被笠,かぶり笠,被り笠,ハット",,,頭を悪天候から保護する頭飾り
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:headdress:helmet,03518281,helmet,,,a protective headgear made of hard material to resist blows,03513137-n,"ヘルメット,鉄兜,メット,鉄帽,金兜,兜,甲",,,頭部を保護する硬質の被り物で打撃に耐える
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:headdress:jewelled headdress:crown,03143320,"crown,diadem",,,an ornamental jeweled headdress signifying sovereignty,03138669-n,"帝冠,王冠,帯状髪飾り,クラウン",,,王族であることを示す装飾的頭飾り
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:outerwear:gown,03455460,"gown,robe",,,outerwear consisting of a long flowing garment used for official or ceremonial occasions,03450516-n,"衣装,ガウン,ローブ,衣裳,ワンピース,フロック,衣,ドレス",,,公的または儀式時に使用される長く流れるような衣服で成る上着
Artifact,entity:physical entity:object:whole:artifact:covering:clothing:uniform,04516887,uniform,,,clothing of distinctive design worn by members of a particular group as a means of identification,04509592-n,"ユニフォーム,ユニホーム,制服",,,特定のグループの構成員が所属を明確にするために着る、特有のデザインの服
